,Predictors,Generally Dominating,Conditionally Dominating,Completely Dominating
0,HT2a,"['HTT', 'HT1b', 'HT4', 'HT1a']","['HTT', 'HT1b', 'HT4', 'HT1a']","['HTT', 'HT1b', 'HT4', 'HT1a']"
1,HTT,"['HT1b', 'HT4', 'HT1a']",,
2,HT1b,"['HT4', 'HT1a']",,
3,HT4,['HT1a'],,
4,HT1a,[],,
