,Predictors,Generally Dominating,Conditionally Dominating,Completely Dominating
0,HT1a,"['HT2a', 'HTT', 'HT1b', 'HT4']",,
1,HT2a,"['HTT', 'HT1b', 'HT4']",,
2,HTT,"['HT1b', 'HT4']","['HT1b', 'HT4']","['HT1b', 'HT4']"
3,HT1b,['HT4'],,
4,HT4,[],,
