,Predictors,Generally Dominating,Conditionally Dominating,Completely Dominating
0,HT4,"['HT2a', 'HTT', 'HT1b', 'HT1a']","['HT2a', 'HTT', 'HT1b', 'HT1a']","['HT2a', 'HTT', 'HT1b', 'HT1a']"
1,HT2a,"['HTT', 'HT1b', 'HT1a']",,
2,HTT,"['HT1b', 'HT1a']",,
3,HT1b,['HT1a'],,
4,HT1a,[],,
